time,count
9.39393,1.20E+01
9.41346,1.10E+01
9.43299,5.00E+00
9.45252,1.00E+01
9.47205,7.00E+00
9.49158,1.10E+01
9.51111,1.10E+01
9.53064,7.00E+00
9.55017,9.00E+00
9.5697,1.00E+01
9.58923,4.00E+00
9.60876,5.00E+00
9.62829,1.30E+01
9.64782,1.00E+01
9.66735,6.00E+00
9.68688,8.00E+00
9.70641,1.00E+01
9.72594,1.10E+01
9.74547,1.10E+01
9.765,1.00E+01
9.78453,8.00E+00
9.80406,9.00E+00
9.82359,1.00E+01
9.84312,1.00E+01
9.86265,8.00E+00
9.88218,9.00E+00
9.90171,1.00E+01
9.92124,1.00E+01
9.94077,1.10E+01
9.9603,1.10E+01
9.97983,9.00E+00
9.99936,1.00E+01
10.01889,1.00E+01
10.03842,5.00E+00
10.05795,9.00E+00
10.07748,1.30E+01
10.09701,1.00E+01
10.11654,7.00E+00
10.13607,1.20E+01
10.1556,8.00E+00
10.17513,7.00E+00
10.19466,3.00E+00
10.21419,5.00E+00
10.23372,7.00E+00
10.25325,1.20E+01
10.27278,1.20E+01
10.29231,9.00E+00
10.31184,1.10E+01
10.33137,8.00E+00
10.3509,1.10E+01
10.37043,1.10E+01
10.38996,7.00E+00
10.40949,9.00E+00
10.42902,4.00E+00
10.44855,8.00E+00
10.46808,3.00E+00
10.48761,4.00E+00
10.50714,5.00E+00
10.52667,1.30E+01
10.5462,6.00E+00
10.56573,1.80E+01
10.58526,2.00E+00
10.60479,5.00E+00
10.62432,7.00E+00
10.64385,5.00E+00
10.66338,1.00E+01
10.68291,6.00E+00
10.70244,3.00E+00
10.72197,6.00E+00
10.7415,5.00E+00
10.76103,4.00E+00
10.78056,1.00E+01
10.80009,7.00E+00
10.81962,7.00E+00
10.83915,1.00E+01
10.85868,1.00E+01
10.87821,1.40E+01
10.89774,7.00E+00
10.91727,6.00E+00
10.9368,8.00E+00
10.95633,8.00E+00
10.97586,1.20E+01
10.99539,7.00E+00
11.01492,7.00E+00
11.03445,7.00E+00
11.05398,7.00E+00
11.07351,1.50E+01
11.09304,5.00E+00
11.11257,9.00E+00
11.1321,6.00E+00
11.15163,7.00E+00
11.17116,1.00E+01
11.19069,6.00E+00
11.21022,1.00E+01
11.22975,5.00E+00
11.24928,7.00E+00
11.26881,8.00E+00
11.28834,6.00E+00
11.30787,6.00E+00
11.3274,7.00E+00
11.34693,6.00E+00
11.36646,4.00E+00
11.38599,8.00E+00
11.40552,6.00E+00
11.42505,7.00E+00
11.44458,7.00E+00
11.46411,9.00E+00
11.48364,6.00E+00
11.50317,9.00E+00
11.5227,2.00E+00
11.54223,7.00E+00
11.56176,3.00E+00
11.58129,1.50E+01
11.60082,6.00E+00
11.62035,4.00E+00
11.63988,4.00E+00
11.65941,7.00E+00
11.67894,1.00E+01
11.69847,1.40E+01
11.718,1.10E+01
11.73753,8.00E+00
11.75706,7.00E+00
11.77659,1.20E+01
11.79612,4.00E+00
11.81565,1.20E+01
11.83518,7.00E+00
11.85471,7.00E+00
11.87424,7.00E+00
11.89377,1.20E+01
11.9133,7.00E+00
11.93283,5.00E+00
11.95236,9.00E+00
11.97189,7.00E+00
11.99142,6.00E+00
12.01095,8.00E+00
12.03048,1.00E+01
12.05001,1.50E+01
12.06954,6.00E+00
12.08907,7.00E+00
12.1086,1.00E+01
12.12813,8.00E+00
12.14766,6.00E+00
12.16719,5.00E+00
12.18672,7.00E+00
12.20625,3.00E+00
12.22578,4.00E+00
12.24531,6.00E+00
12.26484,1.00E+01
12.28437,4.00E+00
12.3039,5.00E+00
12.32343,8.00E+00
12.34296,7.00E+00
12.36249,6.00E+00
12.38202,2.00E+00
12.40155,6.00E+00
12.42108,6.00E+00
12.44061,5.00E+00
12.46014,5.00E+00
12.47967,6.00E+00
12.4992,5.00E+00
12.51873,7.00E+00
12.53826,1.20E+01
12.55779,7.00E+00
12.57732,5.00E+00
12.59685,1.00E+00
12.61638,7.00E+00
12.63591,6.00E+00
12.65544,1.10E+01
12.67497,3.00E+00
12.6945,4.00E+00
12.71403,8.00E+00
12.73356,1.10E+01
12.75309,6.00E+00
12.77262,6.00E+00
12.79215,8.00E+00
12.81168,9.00E+00
12.83121,1.20E+01
12.85074,1.00E+01
12.87027,5.00E+00
12.8898,3.00E+00
12.90933,8.00E+00
12.92886,4.00E+00
12.94839,6.00E+00
12.96792,7.00E+00
12.98745,2.00E+00
13.00698,8.00E+00
13.02651,8.00E+00
13.04604,7.00E+00
13.06557,8.00E+00
13.0851,5.00E+00
13.10463,5.00E+00
13.12416,6.00E+00
13.14369,9.00E+00
13.16322,1.00E+01
13.18275,5.00E+00
13.20228,8.00E+00
13.22181,4.00E+00
13.24134,3.00E+00
13.26087,5.00E+00
13.2804,1.50E+01
13.29993,6.00E+00
13.31946,4.00E+00
13.33899,8.00E+00
13.35852,6.00E+00
13.37805,6.00E+00
13.39758,1.00E+01
13.41711,8.00E+00
13.43664,1.10E+01
13.45617,7.00E+00
13.4757,1.30E+01
13.49523,5.00E+00
13.51476,7.00E+00
13.53429,6.00E+00
13.55382,1.00E+01
13.57335,4.00E+00
13.59288,7.00E+00
13.61241,7.00E+00
13.63194,6.00E+00
13.65147,5.00E+00
13.671,6.00E+00
13.69053,5.00E+00
13.71006,9.00E+00
13.72959,5.00E+00
13.74912,8.00E+00
13.76865,8.00E+00
13.78818,9.00E+00
13.80771,8.00E+00
13.82724,4.00E+00
13.84677,7.00E+00
13.8663,4.00E+00
13.88583,3.00E+00
13.90536,6.00E+00
13.92489,7.00E+00
13.94442,3.00E+00
13.96395,1.10E+01
13.98348,5.00E+00
14.00301,6.00E+00
14.02254,9.00E+00
14.04207,4.00E+00
14.0616,5.00E+00
14.08113,1.20E+01
14.10066,9.00E+00
14.12019,1.00E+01
14.13972,1.10E+01
14.15925,7.00E+00
14.17878,1.10E+01
14.19831,6.00E+00
14.21784,1.00E+01
14.23737,6.00E+00
14.2569,8.00E+00
14.27643,1.00E+01
14.29596,6.00E+00
14.31549,5.00E+00
14.33502,8.00E+00
14.35455,2.00E+00
14.37408,4.00E+00
14.39361,5.00E+00
14.41314,1.00E+01
14.43267,3.00E+00
14.4522,7.00E+00
14.47173,4.00E+00
14.49126,7.00E+00
14.51079,8.00E+00
14.53032,1.40E+01
14.54985,6.00E+00
14.56938,1.00E+01
14.58891,2.00E+00
14.60844,3.00E+00
14.62797,6.00E+00
14.6475,4.00E+00
14.66703,1.00E+00
14.68656,8.00E+00
14.70609,7.00E+00
14.72562,8.00E+00
14.74515,2.00E+00
14.76468,5.00E+00
14.78421,3.00E+00
14.80374,8.00E+00
14.82327,3.00E+00
14.8428,7.00E+00
14.86233,5.00E+00
14.88186,7.00E+00
14.90139,8.00E+00
14.92092,3.00E+00
14.94045,8.00E+00
14.95998,6.00E+00
14.97951,2.00E+00
14.99904,7.00E+00
15.01857,1.20E+01
15.0381,8.00E+00
15.05763,8.00E+00
15.07716,9.00E+00
15.09669,4.00E+00
15.11622,5.00E+00
15.13575,3.00E+00
15.15528,7.00E+00
15.17481,6.00E+00
15.19434,4.00E+00
15.21387,8.00E+00
15.2334,1.10E+01
15.25293,1.10E+01
15.27246,1.00E+01
15.29199,8.00E+00
15.31152,8.00E+00
15.33105,8.00E+00
15.35058,7.00E+00
15.37011,2.00E+00
15.38964,5.00E+00
15.40917,9.00E+00
15.4287,5.00E+00
15.44823,5.00E+00
15.46776,7.00E+00
15.48729,5.00E+00
15.50682,9.00E+00
15.52635,9.00E+00
15.54588,4.00E+00
15.56541,4.00E+00
15.58494,8.00E+00
15.60447,7.00E+00
15.624,4.00E+00
15.64353,3.00E+00
15.66306,8.00E+00
15.68259,7.00E+00
15.70212,8.00E+00
15.72165,8.00E+00
15.74118,1.10E+01
15.76071,8.00E+00
15.78024,6.00E+00
15.79977,2.00E+00
15.8193,6.00E+00
15.83883,1.00E+00
15.85836,5.00E+00
15.87789,5.00E+00
15.89742,5.00E+00
15.91695,8.00E+00
15.93648,3.00E+00
15.95601,1.00E+01
15.97554,6.00E+00
15.99507,3.00E+00
16.0146,6.00E+00
16.03413,8.00E+00
16.05366,1.00E+01
16.07319,6.00E+00
16.09272,8.00E+00
16.11225,4.00E+00
16.13178,5.00E+00
16.15131,6.00E+00
16.17084,7.00E+00
16.19037,3.00E+00
16.2099,3.00E+00
16.22943,3.00E+00
16.24896,1.20E+01
16.26849,3.00E+00
16.28802,4.00E+00
16.30755,3.00E+00
16.32708,1.10E+01
16.34661,7.00E+00
16.36614,9.00E+00
16.38567,6.00E+00
16.4052,5.00E+00
16.42473,7.00E+00
16.44426,7.00E+00
16.46379,5.00E+00
16.48332,9.00E+00
16.50285,7.00E+00
16.52238,7.00E+00
16.54191,4.00E+00
16.56144,7.00E+00
16.58097,7.00E+00
16.6005,4.00E+00
16.62003,4.00E+00
16.63956,7.00E+00
16.65909,4.00E+00
16.67862,9.00E+00
16.69815,4.00E+00
16.71768,3.00E+00
16.73721,7.00E+00
16.75674,3.00E+00
16.77627,4.00E+00
16.7958,3.00E+00
16.81533,4.00E+00
16.83486,8.00E+00
16.85439,4.00E+00
16.87392,7.00E+00
16.89345,7.00E+00
16.91298,2.00E+00
16.93251,4.00E+00
16.95204,7.00E+00
16.97157,1.00E+01
16.9911,3.00E+00
17.01063,8.00E+00
17.03016,8.00E+00
17.04969,7.00E+00
17.06922,5.00E+00
17.08875,7.00E+00
17.10828,5.00E+00
17.12781,6.00E+00
17.14734,6.00E+00
17.16687,2.00E+00
17.1864,4.00E+00
17.20593,7.00E+00
17.22546,6.00E+00
17.24499,4.00E+00
17.26452,6.00E+00
17.28405,9.00E+00
17.30358,5.00E+00
17.32311,5.00E+00
17.34264,6.00E+00
17.36217,3.00E+00
17.3817,6.00E+00
17.40123,4.00E+00
17.42076,8.00E+00
17.44029,5.00E+00
17.45982,4.00E+00
17.47935,6.00E+00
17.49888,5.00E+00
17.51841,3.00E+00
17.53794,7.00E+00
17.55747,7.00E+00
17.577,7.00E+00
17.59653,7.00E+00
17.61606,6.00E+00
17.63559,7.00E+00
17.65512,5.00E+00
17.67465,4.00E+00
17.69418,8.00E+00
17.71371,1.20E+01
17.73324,3.00E+00
17.75277,8.00E+00
17.7723,6.00E+00
17.79183,6.00E+00
17.81136,1.00E+00
17.83089,5.00E+00
17.85042,8.00E+00
17.86995,5.00E+00
17.88948,5.00E+00
17.90901,9.00E+00
17.92854,5.00E+00
17.94807,4.00E+00
17.9676,4.00E+00
17.98713,2.00E+00
18.00666,9.00E+00
18.02619,6.00E+00
18.04572,3.00E+00
18.06525,5.00E+00
18.08478,5.00E+00
18.10431,4.00E+00
18.12384,6.00E+00
18.14337,2.00E+00
18.1629,6.00E+00
18.18243,5.00E+00
18.20196,4.00E+00
18.22149,6.00E+00
18.24102,9.00E+00
18.26055,8.00E+00
18.28008,4.00E+00
18.29961,6.00E+00
18.31914,8.00E+00
18.33867,5.00E+00
18.3582,5.00E+00
18.37773,9.00E+00
18.39726,7.00E+00
18.41679,6.00E+00
18.43632,5.00E+00
18.45585,8.00E+00
18.47538,8.00E+00
18.49491,4.00E+00
18.51444,4.00E+00
18.53397,9.00E+00
18.5535,1.00E+00
18.57303,8.00E+00
18.59256,5.00E+00
18.61209,9.00E+00
18.63162,9.00E+00
18.65115,6.00E+00
18.67068,4.00E+00
18.69021,6.00E+00
18.70974,2.00E+00
18.72927,7.00E+00
18.7488,5.00E+00
18.76833,5.00E+00
18.78786,8.00E+00
18.80739,5.00E+00
18.82692,7.00E+00
18.84645,5.00E+00
18.86598,3.00E+00
18.88551,3.00E+00
18.90504,5.00E+00
18.92457,1.10E+01
18.9441,1.00E+01
18.96363,3.00E+00
18.98316,6.00E+00
19.00269,3.00E+00
19.02222,6.00E+00
19.04175,6.00E+00
19.06128,6.00E+00
19.08081,4.00E+00
19.10034,6.00E+00
19.11987,8.00E+00
19.1394,3.00E+00
19.15893,5.00E+00
19.17846,9.00E+00
19.19799,1.20E+01
19.21752,4.00E+00
19.23705,2.00E+00
19.25658,5.00E+00
19.27611,5.00E+00
19.29564,1.00E+01
19.31517,6.00E+00
19.3347,5.00E+00
19.35423,7.00E+00
19.37376,8.00E+00
19.39329,4.00E+00
19.41282,8.00E+00
19.43235,6.00E+00
19.45188,6.00E+00
19.47141,5.00E+00
19.49094,6.00E+00
19.51047,7.00E+00
19.53,1.10E+01
19.54953,6.00E+00
19.56906,4.00E+00
19.58859,3.00E+00
19.60812,6.00E+00
19.62765,1.10E+01
19.64718,2.00E+00
19.66671,1.00E+01
19.68624,9.00E+00
19.70577,1.00E+00
19.7253,6.00E+00
19.74483,5.00E+00
19.76436,3.00E+00
19.78389,4.00E+00
19.80342,9.00E+00
19.82295,6.00E+00
19.84248,3.00E+00
19.86201,1.00E+00
19.88154,4.00E+00
19.90107,9.00E+00
19.9206,5.00E+00
19.94013,2.00E+00
19.95966,3.00E+00
19.97919,8.00E+00
