V_1,I_1,V_2,I_2,V_3,I_3,V_4,I_4
-0.454101563,-2.69348E-06,-0.454101563,-2.70081E-06,-0.454101563,-2.74414E-06,-0.454101563,-3.05115E-06
-0.456542969,-2.68677E-06,-0.456542969,-2.69348E-06,-0.456542969,-2.73651E-06,-0.456542969,-3.04169E-06
-0.458984375,-2.68158E-06,-0.458984375,-2.68585E-06,-0.458984375,-2.72919E-06,-0.458984375,-3.03436E-06
-0.461425781,-2.67365E-06,-0.461425781,-2.67822E-06,-0.461425781,-2.72217E-06,-0.461425781,-3.02704E-06
-0.463867188,-2.66602E-06,-0.463867188,-2.67212E-06,-0.463867188,-2.71545E-06,-0.463867188,-3.02002E-06
-0.466308594,-2.66022E-06,-0.466308594,-2.66571E-06,-0.466308594,-2.70905E-06,-0.466308594,-3.01483E-06
-0.46875,-2.65442E-06,-0.46875,-2.6593E-06,-0.46875,-2.70081E-06,-0.46875,-3.00659E-06
-0.471191406,-2.64923E-06,-0.471191406,-2.6535E-06,-0.471191406,-2.69287E-06,-0.471191406,-2.99927E-06
-0.473632813,-2.64435E-06,-0.473632813,-2.64832E-06,-0.473632813,-2.68616E-06,-0.473632813,-2.99164E-06
-0.476074219,-2.64038E-06,-0.476074219,-2.64343E-06,-0.476074219,-2.67975E-06,-0.476074219,-2.98584E-06
-0.478515625,-2.6358E-06,-0.478515625,-2.63672E-06,-0.478515625,-2.67334E-06,-0.478515625,-2.97913E-06
-0.480957031,-2.63336E-06,-0.480957031,-2.63123E-06,-0.480957031,-2.66785E-06,-0.480957031,-2.97211E-06
-0.483398438,-2.63062E-06,-0.483398438,-2.62573E-06,-0.483398438,-2.66388E-06,-0.483398438,-2.96661E-06
-0.485839844,-2.62726E-06,-0.485839844,-2.62085E-06,-0.485839844,-2.65991E-06,-0.485839844,-2.96051E-06
-0.48828125,-2.62421E-06,-0.48828125,-2.62024E-06,-0.48828125,-2.65808E-06,-0.48828125,-2.95502E-06
-0.490722656,-2.62207E-06,-0.490722656,-2.61566E-06,-0.490722656,-2.6532E-06,-0.490722656,-2.94952E-06
-0.493164063,-2.61963E-06,-0.493164063,-2.61322E-06,-0.493164063,-2.64984E-06,-0.493164063,-2.94434E-06
-0.495605469,-2.61658E-06,-0.495605469,-2.61078E-06,-0.495605469,-2.64771E-06,-0.495605469,-2.94128E-06
-0.498046875,-2.61444E-06,-0.498046875,-2.60956E-06,-0.498046875,-2.64587E-06,-0.498046875,-2.94037E-06
-0.500488281,-2.61322E-06,-0.500488281,-2.60742E-06,-0.500488281,-2.64282E-06,-0.500488281,-2.9361E-06
-0.498046875,-2.46002E-06,-0.498046875,-2.44507E-06,-0.498046875,-2.47253E-06,-0.498046875,-2.74872E-06
-0.495605469,-2.36115E-06,-0.495605469,-2.34161E-06,-0.495605469,-2.36572E-06,-0.495605469,-2.63E-06
-0.493164063,-2.2876E-06,-0.493164063,-2.2641E-06,-0.493164063,-2.28668E-06,-0.493164063,-2.54395E-06
-0.490722656,-2.2287E-06,-0.490722656,-2.20367E-06,-0.490722656,-2.2226E-06,-0.490722656,-2.47375E-06
-0.48828125,-2.18018E-06,-0.48828125,-2.15271E-06,-0.48828125,-2.17346E-06,-0.48828125,-2.4176E-06
-0.485839844,-2.13837E-06,-0.485839844,-2.11029E-06,-0.485839844,-2.12982E-06,-0.485839844,-2.36877E-06
-0.483398438,-2.10297E-06,-0.483398438,-2.07336E-06,-0.483398438,-2.0929E-06,-0.483398438,-2.32788E-06
-0.480957031,-2.07214E-06,-0.480957031,-2.04041E-06,-0.480957031,-2.06207E-06,-0.480957031,-2.29065E-06
-0.478515625,-2.04498E-06,-0.478515625,-2.01233E-06,-0.478515625,-2.03461E-06,-0.478515625,-2.25922E-06
-0.476074219,-2.01935E-06,-0.476074219,-1.98853E-06,-0.476074219,-2.01019E-06,-0.476074219,-2.23022E-06
-0.473632813,-1.99707E-06,-0.473632813,-1.96594E-06,-0.473632813,-1.98822E-06,-0.473632813,-2.20551E-06
