t,I
0.261722744,1.48743
0.261633152,1.48376
0.261543652,1.48773
0.261454243,1.48376
0.261364926,1.48468
0.2612757,1.48529
0.261186566,1.48224
0.261097523,1.48529
0.261008571,1.48224
0.260919709,1.48285
0.260830939,1.48315
0.260742259,1.48041
0.260653669,1.48346
0.26056517,1.4798
0.26047676,1.48071
0.260388441,1.48132
0.260300211,1.47888
0.260212072,1.48102
0.260124021,1.47766
0.26003606,1.47888
0.259948188,1.47919
0.259860405,1.47614
0.259772711,1.4801
0.259685105,1.47644
0.259597588,1.47705
0.25951016,1.47766
0.25942282,1.47461
0.259335568,1.47797
0.259248404,1.47461
0.259161328,1.47522
0.259074339,1.47552
0.258987438,1.47247
0.258900625,1.47552
0.258813898,1.47217
0.258727259,1.47308
0.258640707,1.47369
0.258554241,1.47095
0.258467862,1.4743
0.25838157,1.47095
0.258295364,1.47156
0.258209244,1.47156
0.258123211,1.46912
0.258037263,1.47156
0.257951401,1.46851
0.257865625,1.46973
0.257779934,1.46973
0.257694329,1.46667
0.257608809,1.46973
0.257523374,1.46698
0.257438024,1.46729
0.257352758,1.46851
0.257267578,1.46576
0.257182482,1.4679
0.25709747,1.46515
0.257012542,1.46545
0.256927699,1.46667
0.25684294,1.46271
0.256758264,1.46637
0.256673672,1.46271
0.256589164,1.46393
0.256504739,1.46423
0.256420397,1.46088
0.256336139,1.46454
0.256251963,1.46118
0.256167871,1.4621
0.256083861,1.46271
0.255999934,1.45966
0.255916089,1.46271
0.255832326,1.45935
0.255748646,1.46027
0.255665048,1.46057
0.255581532,1.45721
0.255498097,1.46088
0.255414744,1.45691
0.255331473,1.45813
0.255248283,1.45782
0.255165174,1.45599
0.255082147,1.45844
0.2549992,1.45538
0.254916335,1.4566
0.25483355,1.45691
0.254750845,1.45386
0.254668221,1.45721
0.254585678,1.45386
0.254503215,1.45477
0.254420831,1.45447
0.254338528,1.45142
0.254256305,1.45477
0.254174161,1.45172
0.254092097,1.45233
0.254010112,1.45386
0.253928206,1.45081
0.25384638,1.45355
0.253764633,1.44989
0.253682964,1.45081
0.253601375,1.45142
0.253519864,1.44897
0.253438432,1.45142
0.253357078,1.44806
0.253275802,1.44897
0.253194605,1.44989
0.253113486,1.44714
0.253032444,1.44958
0.25295148,1.44592
0.252870594,1.44806
0.252789786,1.44806
0.252709055,1.44531
0.252628401,1.44836
0.252547825,1.4447
0.252467325,1.44592
0.252386903,1.44623
0.252306557,1.44379
0.252226288,1.44653
0.252146095,1.44318
0.252065979,1.4444
0.251985939,1.44379
0.251905976,1.44196
0.251826088,1.4447
0.251746277,1.44043
0.251666541,1.44226
0.251586881,1.44257
0.251507297,1.43951
0.251427788,1.44318
0.251348354,1.4389
0.251268996,1.44073
0.251189713,1.44135
0.251110504,1.43799
0.251031371,1.44135
0.250952313,1.43738
0.250873329,1.4389
0.250794419,1.43982
0.250715584,1.43677
0.250636824,1.43921
0.250558137,1.43585
0.250479525,1.43738
0.250400986,1.43768
0.250322522,1.43433
0.250244131,1.43799
0.250165814,1.43402
0.25008757,1.43555
0.250009399,1.43616
0.249931302,1.4328
0.249853278,1.43616
0.249775327,1.43219
