V_2,I_2,V_3,I_3
0.395507813,1.29669E-06,0.395507813,1.02386E-06
0.393066406,1.28784E-06,0.393066406,1.00861E-06
0.390625,1.2793E-06,0.390625,9.91821E-07
0.388183594,1.27014E-06,0.388183594,9.75342E-07
0.385742188,1.26129E-06,0.385742188,9.57642E-07
0.383300781,1.25244E-06,0.383300781,9.375E-07
0.380859375,1.24329E-06,0.380859375,9.17358E-07
0.378417969,1.23413E-06,0.378417969,8.95081E-07
0.375976563,1.22437E-06,0.375976563,8.70972E-07
0.373535156,1.21399E-06,0.373535156,8.45337E-07
0.37109375,1.20361E-06,0.37109375,8.17261E-07
0.368652344,1.19293E-06,0.368652344,7.87659E-07
0.366210938,1.18164E-06,0.366210938,7.5531E-07
0.363769531,1.17035E-06,0.363769531,7.2052E-07
0.361328125,1.15875E-06,0.361328125,6.82678E-07
0.358886719,1.14777E-06,0.358886719,6.427E-07
0.356445313,1.13617E-06,0.356445313,5.99976E-07
0.354003906,1.12427E-06,0.354003906,5.53894E-07
0.3515625,1.11237E-06,0.3515625,5.04456E-07
0.349121094,1.10077E-06,0.349121094,4.51355E-07
0.346679688,1.08795E-06,0.346679688,3.96027E-07
0.344238281,1.07574E-06,0.344238281,3.3548E-07
0.341796875,1.06232E-06,0.341796875,2.70538E-07
0.339355469,1.0495E-06,0.339355469,2.02545E-07
0.336914063,1.03577E-06,0.336914063,1.28876E-07
0.334472656,1.02234E-06,0.334472656,4.99878E-08
0.33203125,1.0083E-06,0.33203125,-3.3844E-08
0.329589844,9.93958E-07,0.329589844,-1.20178E-07
0.327148438,9.80835E-07,0.327148438,-2.13226E-07
0.324707031,9.67407E-07,0.324707031,-3.11401E-07
0.322265625,9.53674E-07,0.322265625,-4.13544E-07
0.319824219,9.41467E-07,0.319824219,-5.2063E-07
0.317382813,9.27734E-07,0.317382813,-6.3385E-07
0.314941406,9.15527E-07,0.314941406,-7.48901E-07
0.3125,9.03625E-07,0.3125,-8.69141E-07
0.310058594,8.91418E-07,0.310058594,-9.96704E-07
0.307617188,8.79517E-07,0.307617188,-1.12274E-06
0.305175781,8.68835E-07,0.305175781,-1.25427E-06
0.302734375,8.57544E-07,0.302734375,-1.38763E-06
0.300292969,8.47168E-07,0.300292969,-1.52161E-06
0.297851563,8.36792E-07,0.297851563,-1.65833E-06
0.295410156,8.26416E-07,0.295410156,-1.79596E-06
0.29296875,8.17871E-07,0.29296875,-1.93298E-06
0.290527344,8.09021E-07,0.290527344,-2.06696E-06
0.288085938,8.01086E-07,0.288085938,-2.19971E-06
0.285644531,7.94067E-07,0.285644531,-2.33215E-06
0.283203125,7.86743E-07,0.283203125,-2.45941E-06
0.280761719,7.80945E-07,0.280761719,-2.58026E-06
0.278320313,7.75757E-07,0.278320313,-2.69897E-06
0.275878906,7.69958E-07,0.275878906,-2.8125E-06
0.2734375,7.65381E-07,0.2734375,-2.92145E-06
0.270996094,7.60803E-07,0.270996094,-3.02368E-06
0.268554688,7.55615E-07,0.268554688,-3.11859E-06
0.266113281,7.51953E-07,0.266113281,-3.20648E-06
0.263671875,7.47986E-07,0.263671875,-3.28827E-06
0.261230469,7.44324E-07,0.261230469,-3.36243E-06
0.258789063,7.40051E-07,0.258789063,-3.4314E-06
0.256347656,7.37E-07,0.256347656,-3.49426E-06
0.25390625,7.35168E-07,0.25390625,-3.55072E-06
0.251464844,7.32727E-07,0.251464844,-3.59772E-06
0.249023438,7.30286E-07,0.249023438,-3.64166E-06
0.246582031,7.2876E-07,0.246582031,-3.6792E-06
0.244140625,7.27234E-07,0.244140625,-3.71155E-06
0.241699219,7.26318E-07,0.241699219,-3.73749E-06
0.239257813,7.24487E-07,0.239257813,-3.76007E-06
0.236816406,7.22961E-07,0.236816406,-3.77777E-06
0.234375,7.22351E-07,0.234375,-3.79395E-06
0.231933594,7.19604E-07,0.231933594,-3.80463E-06
0.229492188,7.18384E-07,0.229492188,-3.81226E-06
0.227050781,7.16248E-07,0.227050781,-3.81775E-06
0.224609375,7.14722E-07,0.224609375,-3.8208E-06
0.222167969,7.12891E-07,0.222167969,-3.8205E-06
0.219726563,7.1167E-07,0.219726563,-3.81927E-06
0.217285156,7.10754E-07,0.217285156,-3.81653E-06
0.21484375,7.09839E-07,0.21484375,-3.81195E-06
0.212402344,7.08618E-07,0.212402344,-3.80463E-06
0.209960938,7.07703E-07,0.209960938,-3.7973E-06
0.207519531,7.06482E-07,0.207519531,-3.78876E-06
0.205078125,7.05566E-07,0.205078125,-3.77991E-06
0.202636719,7.04346E-07,0.202636719,-3.76892E-06
0.200195313,7.0282E-07,0.200195313,-3.75854E-06
0.197753906,7.00684E-07,0.197753906,-3.74756E-06
0.1953125,6.99158E-07,0.1953125,-3.73657E-06
0.192871094,6.96716E-07,0.192871094,-3.72498E-06
0.190429688,6.9397E-07,0.190429688,-3.71338E-06
0.187988281,6.91528E-07,0.187988281,-3.70087E-06
0.185546875,6.89697E-07,0.185546875,-3.68927E-06
0.183105469,6.87561E-07,0.183105469,-3.67767E-06
0.180664063,6.8512E-07,0.180664063,-3.66547E-06
0.178222656,6.82678E-07,0.178222656,-3.65295E-06
0.17578125,6.79626E-07,0.17578125,-3.64105E-06
0.173339844,6.77185E-07,0.173339844,-3.62823E-06
0.170898438,6.74438E-07,0.170898438,-3.61572E-06
0.168457031,6.71387E-07,0.168457031,-3.60229E-06
0.166015625,6.67419E-07,0.166015625,-3.58856E-06
0.163574219,6.63757E-07,0.163574219,-3.57544E-06
0.161132813,6.5918E-07,0.161132813,-3.56232E-06
0.158691406,6.54297E-07,0.158691406,-3.5495E-06
0.15625,6.48499E-07,0.15625,-3.53546E-06
0.153808594,6.427E-07,0.153808594,-3.52203E-06
0.151367188,6.36597E-07,0.151367188,-3.5083E-06
0.148925781,6.29883E-07,0.148925781,-3.49426E-06
0.146484375,6.22864E-07,0.146484375,-3.48114E-06
0.144042969,6.15845E-07,0.144042969,-3.4668E-06
0.141601563,6.073E-07,0.141601563,-3.45215E-06
0.139160156,5.98755E-07,0.139160156,-3.43811E-06
0.13671875,5.896E-07,0.13671875,-3.42285E-06
0.134277344,5.78918E-07,0.134277344,-3.40729E-06
0.131835938,5.67627E-07,0.131835938,-3.39203E-06
0.129394531,5.5481E-07,0.129394531,-3.37555E-06
0.126953125,5.41077E-07,0.126953125,-3.35968E-06
0.124511719,5.25513E-07,0.124511719,-3.3432E-06
0.122070313,5.08728E-07,0.122070313,-3.32642E-06
0.119628906,4.90112E-07,0.119628906,-3.31024E-06
0.1171875,4.71191E-07,0.1171875,-3.29346E-06
0.114746094,4.49585E-07,0.114746094,-3.27667E-06
0.112304688,4.26239E-07,0.112304688,-3.2605E-06
0.109863281,4.03107E-07,0.109863281,-3.24371E-06
0.107421875,3.75183E-07,0.107421875,-3.22662E-06
0.104980469,3.46985E-07,0.104980469,-3.21014E-06
0.102539063,3.16742E-07,0.102539063,-3.19305E-06
0.100097656,2.8186E-07,0.100097656,-3.17535E-06
0.09765625,2.46155E-07,0.09765625,-3.15857E-06
0.095214844,2.06512E-07,0.095214844,-3.14056E-06
0.092773438,1.633E-07,0.092773438,-3.12317E-06
0.090332031,1.17096E-07,0.090332031,-3.10577E-06
