V,I
0.028991699,-1.88324E-06
0.026550293,-1.86676E-06
0.024108887,-1.89117E-06
0.02166748,-1.8576E-06
0.019226074,-1.89148E-06
0.016784668,-1.86676E-06
0.014343262,-1.90857E-06
0.011901855,-1.88019E-06
0.009460449,-1.92444E-06
0.007019043,-1.89453E-06
0.004577637,-1.95526E-06
0.00213623,-1.9458E-06
-0.000305176,-1.98883E-06
-0.002746582,-2.01019E-06
-0.005187988,-2.03247E-06
-0.007629395,-2.09198E-06
-0.010070801,-2.07581E-06
-0.012512207,-2.19025E-06
-0.014953613,-2.15424E-06
-0.01739502,-2.29034E-06
-0.019836426,-2.25739E-06
-0.022277832,-2.37732E-06
-0.024719238,-2.35229E-06
-0.027160645,-2.46521E-06
-0.029602051,-2.46094E-06
