V1,I1,V2,I2,V3,I3
0.434570313,2.11548E-06,0.434570313,1.74469E-06,0.434570313,1.22986E-06
0.432128906,2.09839E-06,0.432128906,1.73157E-06,0.432128906,1.21979E-06
0.4296875,2.08069E-06,0.4296875,1.71906E-06,0.4296875,1.21063E-06
0.427246094,2.06329E-06,0.427246094,1.70807E-06,0.427246094,1.20117E-06
0.424804688,2.04559E-06,0.424804688,1.69403E-06,0.424804688,1.19232E-06
0.422363281,2.02759E-06,0.422363281,1.6803E-06,0.422363281,1.18103E-06
0.419921875,2.00928E-06,0.419921875,1.66809E-06,0.419921875,1.17004E-06
0.417480469,1.99127E-06,0.417480469,1.65558E-06,0.417480469,1.16119E-06
0.415039063,1.97327E-06,0.415039063,1.64368E-06,0.415039063,1.15112E-06
0.412597656,1.95618E-06,0.412597656,1.63177E-06,0.412597656,1.14105E-06
0.41015625,1.93726E-06,0.41015625,1.62018E-06,0.41015625,1.1322E-06
0.407714844,1.91956E-06,0.407714844,1.60828E-06,0.407714844,1.12213E-06
0.405273438,1.90033E-06,0.405273438,1.59698E-06,0.405273438,1.11359E-06
0.402832031,1.88141E-06,0.402832031,1.586E-06,0.402832031,1.10474E-06
0.400390625,1.86188E-06,0.400390625,1.5741E-06,0.400390625,1.0965E-06
0.397949219,1.84143E-06,0.397949219,1.56311E-06,0.397949219,1.08887E-06
