z1,I1,z2,I2,z3,I3,z4,I4,z5,I5
7.38E-08,2.14E-11,9.28E-08,2.44E-11,9.07E-08,1.83E-11,5.08E-10,7.93E-11,4.41E-08,1.10E-10
7.39E-08,1.22E-11,9.28E-08,1.83E-11,9.07E-08,1.22E-11,5.13E-10,1.04E-10,4.41E-08,1.04E-10
7.39E-08,1.53E-11,9.28E-08,3.36E-11,9.07E-08,9.16E-12,5.19E-10,8.54E-11,4.41E-08,1.46E-10
7.39E-08,9.16E-12,9.28E-08,6.10E-12,9.07E-08,3.05E-12,5.25E-10,8.85E-11,4.41E-08,1.25E-10
7.39E-08,9.16E-12,9.28E-08,2.14E-11,9.07E-08,1.53E-11,5.31E-10,8.85E-11,4.41E-08,1.19E-10
7.39E-08,1.83E-11,9.28E-08,3.05E-11,9.07E-08,1.53E-11,5.37E-10,9.16E-11,4.41E-08,1.59E-10
7.39E-08,1.53E-11,9.28E-08,1.53E-11,9.07E-08,6.10E-12,5.43E-10,1.13E-10,4.41E-08,1.46E-10
7.39E-08,2.44E-11,9.28E-08,1.83E-11,9.07E-08,9.31E-17,5.49E-10,1.01E-10,4.41E-08,1.53E-10
7.39E-08,2.14E-11,9.28E-08,2.14E-11,9.07E-08,6.10E-12,5.55E-10,1.01E-10,4.41E-08,1.10E-10
7.39E-08,1.22E-11,9.29E-08,2.44E-11,9.07E-08,1.22E-11,5.61E-10,9.46E-11,4.41E-08,1.71E-10
7.39E-08,2.44E-11,9.29E-08,2.75E-11,9.07E-08,6.10E-12,5.66E-10,1.22E-10,4.41E-08,1.04E-10
7.39E-08,1.22E-11,9.29E-08,1.22E-11,9.07E-08,6.10E-12,5.72E-10,1.10E-10,4.41E-08,1.22E-10
7.39E-08,1.83E-11,9.29E-08,2.14E-11,9.07E-08,3.05E-12,5.78E-10,1.10E-10,4.41E-08,2.69E-10
7.39E-08,1.53E-11,9.29E-08,1.22E-11,9.07E-08,1.22E-11,5.84E-10,9.77E-11,4.41E-08,1.53E-10
7.39E-08,3.05E-11,9.29E-08,1.53E-11,9.07E-08,1.22E-11,5.90E-10,1.10E-10,4.41E-08,1.28E-10
7.39E-08,2.14E-11,9.29E-08,1.22E-11,9.07E-08,1.83E-11,5.96E-10,9.46E-11,4.41E-08,1.59E-10
7.39E-08,3.36E-11,9.29E-08,2.44E-11,9.07E-08,9.31E-17,6.02E-10,9.46E-11,4.42E-08,2.04E-10
7.39E-08,1.83E-11,9.29E-08,1.83E-11,9.08E-08,1.22E-11,6.08E-10,1.07E-10,4.42E-08,2.50E-10
7.40E-08,3.36E-11,9.29E-08,2.14E-11,9.08E-08,9.31E-17,6.13E-10,9.46E-11,4.42E-08,2.17E-10
7.40E-08,2.44E-11,9.29E-08,2.75E-11,9.08E-08,1.53E-11,6.19E-10,1.04E-10,4.42E-08,2.32E-10
7.40E-08,2.75E-11,9.29E-08,6.10E-12,9.08E-08,-3.05E-12,6.25E-10,9.16E-11,4.42E-08,2.20E-10
7.40E-08,2.75E-11,9.29E-08,3.05E-11,9.08E-08,9.16E-12,6.31E-10,1.01E-10,4.42E-08,2.14E-10
7.40E-08,2.14E-11,9.29E-08,2.14E-11,9.08E-08,6.10E-12,6.37E-10,1.04E-10,4.42E-08,1.74E-10
7.40E-08,3.05E-11,9.29E-08,2.14E-11,9.08E-08,6.10E-12,6.43E-10,1.13E-10,4.42E-08,1.89E-10
7.40E-08,2.75E-11,9.29E-08,1.22E-11,9.08E-08,1.22E-11,6.49E-10,1.13E-10,4.42E-08,1.86E-10
7.40E-08,4.58E-11,9.29E-08,2.14E-11,9.08E-08,9.16E-12,6.55E-10,1.13E-10,4.42E-08,1.68E-10
7.40E-08,1.83E-11,9.30E-08,2.14E-11,9.08E-08,9.16E-12,6.61E-10,9.77E-11,4.42E-08,1.56E-10
7.40E-08,3.66E-11,9.30E-08,2.75E-11,9.08E-08,9.16E-12,6.66E-10,1.22E-10,4.42E-08,1.83E-10
7.40E-08,2.75E-11,9.30E-08,1.22E-11,9.08E-08,-1.22E-11,6.72E-10,1.22E-10,4.42E-08,1.83E-10
7.40E-08,4.58E-11,9.30E-08,2.44E-11,9.08E-08,1.22E-11,6.78E-10,9.16E-11,4.42E-08,8.85E-11
7.40E-08,2.44E-11,9.30E-08,2.14E-11,9.08E-08,9.31E-17,6.84E-10,1.16E-10,4.42E-08,1.71E-10
7.40E-08,3.97E-11,9.30E-08,3.36E-11,9.08E-08,1.53E-11,6.90E-10,1.16E-10,4.42E-08,1.68E-10
7.40E-08,4.58E-11,9.30E-08,1.53E-11,9.08E-08,3.05E-12,6.96E-10,1.10E-10,4.42E-08,1.31E-10
7.40E-08,5.19E-11,9.30E-08,3.66E-11,9.08E-08,9.16E-12,7.02E-10,1.10E-10,4.43E-08,1.50E-10
7.40E-08,3.97E-11,9.30E-08,1.83E-11,9.09E-08,1.22E-11,7.08E-10,1.19E-10,4.43E-08,1.25E-10
7.41E-08,4.88E-11,9.30E-08,4.27E-11,9.09E-08,1.53E-11,7.13E-10,1.25E-10,4.43E-08,1.40E-10
7.41E-08,3.97E-11,9.30E-08,2.75E-11,9.09E-08,1.53E-11,7.19E-10,1.07E-10,4.43E-08,1.68E-10
7.41E-08,5.49E-11,9.30E-08,3.05E-11,9.09E-08,-3.05E-12,7.25E-10,1.13E-10,4.43E-08,1.59E-10
7.41E-08,5.49E-11,9.30E-08,3.05E-11,9.09E-08,9.16E-12,7.31E-10,8.24E-11,4.43E-08,1.16E-10
7.41E-08,5.80E-11,9.30E-08,4.27E-11,9.09E-08,1.22E-11,7.37E-10,1.19E-10,4.43E-08,8.24E-11
7.41E-08,6.10E-11,9.30E-08,2.75E-11,9.09E-08,9.16E-12,7.43E-10,1.22E-10,4.43E-08,1.25E-10
7.41E-08,5.49E-11,9.30E-08,5.49E-11,9.09E-08,1.22E-11,7.49E-10,1.25E-10,4.43E-08,1.01E-10
7.41E-08,4.27E-11,9.30E-08,2.75E-11,9.09E-08,1.53E-11,7.55E-10,1.16E-10,4.43E-08,7.93E-11
7.41E-08,7.93E-11,9.31E-08,4.27E-11,9.09E-08,1.22E-11,7.61E-10,1.31E-10,4.43E-08,8.54E-11
7.41E-08,6.10E-11,9.31E-08,2.75E-11,9.09E-08,1.22E-11,7.66E-10,1.04E-10,4.43E-08,1.34E-10
7.41E-08,9.77E-11,9.31E-08,4.88E-11,9.09E-08,-6.10E-12,7.72E-10,1.07E-10,4.43E-08,7.93E-11
7.41E-08,9.77E-11,9.31E-08,5.19E-11,9.09E-08,6.10E-12,7.78E-10,8.54E-11,4.43E-08,8.85E-11
7.41E-08,5.80E-11,9.31E-08,4.88E-11,9.09E-08,2.14E-11,7.84E-10,1.34E-10,4.43E-08,8.85E-11
7.41E-08,8.85E-11,9.31E-08,5.49E-11,9.09E-08,1.83E-11,7.90E-10,1.43E-10,4.43E-08,1.10E-10
7.41E-08,8.24E-11,9.31E-08,3.97E-11,9.09E-08,9.16E-12,7.96E-10,1.40E-10,4.43E-08,1.10E-10
7.41E-08,8.85E-11,9.31E-08,3.97E-11,9.09E-08,1.22E-11,8.02E-10,1.59E-10,4.44E-08,1.16E-10
7.41E-08,1.10E-10,9.31E-08,4.27E-11,9.10E-08,6.10E-12,8.08E-10,1.65E-10,4.44E-08,1.13E-10
7.42E-08,1.16E-10,9.31E-08,5.49E-11,9.10E-08,1.53E-11,8.13E-10,1.40E-10,4.44E-08,1.68E-10
7.42E-08,1.16E-10,9.31E-08,5.49E-11,9.10E-08,3.05E-12,8.19E-10,1.31E-10,4.44E-08,1.43E-10
7.42E-08,1.43E-10,9.31E-08,7.02E-11,9.10E-08,2.44E-11,8.25E-10,1.28E-10,4.44E-08,1.71E-10
7.42E-08,1.07E-10,9.31E-08,6.71E-11,9.10E-08,2.14E-11,8.31E-10,1.46E-10,4.44E-08,1.43E-10
